10-27-2016 00:03:25.052,-,API," ,0013A20040F4B037,ZIGBEE TH Reg,405E,COM3 - 9600/8/N/1/N,0"

10-26-2016 23:55:01.322,0,SENT,7E001611190013A20040F4B037FFFE00000032000000001900BD
10-26-2016 23:55:01.500,1,RECV,7E0062910013A20040F4B037000000008032000001190050000F00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000046
10-26-2016 23:55:01.502,2,RECV,7E00078B19000000230038
10-26-2016 23:55:01.503,3,SENT,7E001611190013A20040F4B037FFFE0000003200000000190FAE
10-26-2016 23:55:01.660,4,RECV,7E0062910013A20040F4B0370000000080320000011900500F0F00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000037
10-26-2016 23:55:01.660,5,RECV,7E00078B19000000230038
10-26-2016 23:55:01.660,6,SENT,7E001611190013A20040F4B037FFFE0000003200000000191E9F
10-26-2016 23:55:01.820,7,RECV,7E0062910013A20040F4B0370000000080320000011900501E0F00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000028
10-26-2016 23:55:01.824,8,RECV,7E00078B19000000230038
10-26-2016 23:55:01.824,9,SENT,7E001611190013A20040F4B037FFFE0000003200000000192D90
10-26-2016 23:55:02.000,10,RECV,7E0062910013A20040F4B0370000000080320000011900502D0F00000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000019
10-26-2016 23:55:02.000,11,RECV,7E00078B19000000230038
10-26-2016 23:55:02.001,12,SENT,7E001611190013A20040F4B037FFFE0000003200000000193C81
10-26-2016 23:55:02.180,13,RECV,7E0062910013A20040F4B0370000000080320000011900503C0F0000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000000030000000003000000000300000A
10-26-2016 23:55:02.180,14,RECV,7E00078B19000000230038
10-26-2016 23:55:02.180,15,SENT,7E001611190013A20040F4B037FFFE0000003200000000194B72
10-26-2016 23:55:02.300,16,RECV,7E0030910013A20040F4B0370000000080320000011900504B050000030000000003000000000300000000030000000003000023
10-26-2016 23:55:02.336,17,RECV,7E00078B19000000230038
10-26-2016 23:55:02.423,18,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:02.500,19,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:02.501,20,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:02.510,21,RECV,7E00078B1A000000230037
10-26-2016 23:55:02.610,22,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:02.610,23,RECV,7E00078B1A000000230037
10-26-2016 23:55:02.610,24,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:02.690,25,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:02.690,26,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:02.700,27,RECV,7E00078B1A000000230037
10-26-2016 23:55:02.770,28,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:02.770,29,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:02.780,30,RECV,7E00078B1A000000230037
10-26-2016 23:55:02.850,31,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:02.850,32,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:02.860,33,RECV,7E00078B1A000000230037
10-26-2016 23:55:02.930,34,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:02.930,35,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:02.940,36,RECV,7E00078B1A000000230037
10-26-2016 23:55:03.010,37,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:03.010,38,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:03.020,39,RECV,7E00078B1A000000230037
10-26-2016 23:55:03.090,40,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
10-26-2016 23:55:03.090,41,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:03.100,42,RECV,7E00078B1A000000230037
10-26-2016 23:55:03.170,43,RECV,7E0017910013A20040F4B0370000000080310000011A00000000D2
10-26-2016 23:55:03.170,44,SENT,7E0016111A0013A20040F4B037FFFE00000031000000001A00BC
